"client_id","age","job","marital","education","default","housing","loan","contact","month","day_of_week","campaign","pdays","previous","poutcome","emp.var.rate","cons.price.idx","cons.conf.idx","euribor3m","nr.employed","subscribe"
2,29,"housemaid","single","high.school","no","no","no","telephone","may","mon",3,999,0,"nonexistent",1.1,93.994,-36.4,4.858,5191,0
3,39,"unemployed","married","basic.9y","unknown","yes","no","telephone","jun","fri",6,999,0,"nonexistent",1.4,94.465,-41.8,4.959,5228.1,0
4,49,"blue-collar","married","basic.6y","unknown","no","no","cellular","nov","tue",2,999,0,"nonexistent",-0.1,93.2,-42,4.153,5195.8,0
5,32,"self-employed","single","university.degree","no","yes","no","cellular","may","mon",3,999,1,"failure",-1.8,92.893,-46.2,1.299,5099.1,0
6,29,"admin.","single","high.school","unknown","yes","no","cellular","jul","fri",2,999,0,"nonexistent",1.4,93.918,-42.7,4.963,5228.1,0
7,51,"self-employed","married","university.degree","unknown","yes","no","telephone","jun","tue",1,999,0,"nonexistent",1.4,94.465,-41.8,4.864,5228.1,0
8,34,"blue-collar","married","basic.4y","no","yes","no","cellular","nov","tue",1,999,0,"nonexistent",-0.1,93.2,-42,4.153,5195.8,0
9,52,"services","married","high.school","no","yes","no","cellular","nov","tue",1,999,0,"nonexistent",-0.1,93.2,-42,4.153,5195.8,0
14,52,"admin.","married","university.degree","no","yes","no","cellular","nov","thu",3,999,0,"nonexistent",-0.1,93.2,-42,4.076,5195.8,0
15,29,"admin.","single","university.degree","no","yes","no","cellular","jun","mon",1,999,0,"nonexistent",-2.9,92.963,-40.8,1.266,5076.2,0
16,31,"housemaid","divorced","basic.6y","no","no","yes","cellular","may","wed",1,999,0,"nonexistent",-1.8,92.893,-46.2,1.334,5099.1,0
18,47,"admin.","married","high.school","no","no","yes","telephone","may","wed",1,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,0
19,34,"blue-collar","single","high.school","no","no","no","cellular","may","wed",1,999,0,"nonexistent",-1.8,92.893,-46.2,1.281,5099.1,0
21,39,"technician","single","university.degree","no","no","no","cellular","aug","wed",1,999,0,"nonexistent",1.4,93.444,-36.1,4.967,5228.1,0
22,39,"management","divorced","university.degree","no","no","no","cellular","aug","wed",1,999,0,"nonexistent",1.4,93.444,-36.1,4.964,5228.1,1
24,33,"admin.","married","university.degree","no","yes","no","cellular","aug","wed",2,999,0,"nonexistent",1.4,93.444,-36.1,4.964,5228.1,0
26,35,"admin.","married","university.degree","no","no","no","cellular","aug","mon",2,999,0,"nonexistent",1.4,93.444,-36.1,4.963,5228.1,0
27,29,"services","divorced","high.school","no","yes","no","cellular","jul","wed",1,999,0,"nonexistent",1.4,93.918,-42.7,4.962,5228.1,0
29,47,"retired","married","basic.4y","unknown","no","no","telephone","jun","fri",2,999,0,"nonexistent",1.4,94.465,-41.8,4.967,5228.1,0
30,44,"management","married","high.school","no","yes","no","telephone","may","fri",3,999,0,"nonexistent",1.1,93.994,-36.4,4.859,5191,0
32,48,"unemployed","married","professional.course","no","yes","no","cellular","may","wed",1,6,2,"success",-1.8,93.876,-40,0.682,5008.7,1
34,30,"services","single","high.school","no","yes","no","cellular","jul","fri",2,999,0,"nonexistent",1.4,93.918,-42.7,4.963,5228.1,0
36,28,"admin.","single","university.degree","no","yes","no","cellular","mar","thu",4,999,2,"failure",-1.8,93.369,-34.8,0.65,5008.7,1
38,47,"blue-collar","married","professional.course","unknown","yes","no","telephone","may","wed",1,999,0,"nonexistent",1.1,93.994,-36.4,4.856,5191,0
39,30,"management","single","university.degree","no","no","yes","telephone","may","wed",5,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,1
40,49,"blue-collar","married","basic.9y","no","no","no","cellular","may","fri",2,999,0,"nonexistent",-1.8,92.893,-46.2,1.313,5099.1,0
41,40,"technician","married","professional.course","no","no","no","telephone","jun","fri",2,999,0,"nonexistent",1.4,94.465,-41.8,4.959,5228.1,0
44,63,"technician","married","unknown","no","yes","no","cellular","dec","mon",2,999,1,"failure",-3,92.713,-33,0.715,5023.5,1
45,28,"admin.","married","university.degree","no","yes","no","telephone","may","fri",3,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,0
46,41,"admin.","divorced","university.degree","no","yes","no","cellular","mar","fri",2,6,3,"success",-1.8,93.369,-34.8,0.653,5008.7,1
48,21,"services","single","high.school","no","no","no","cellular","may","tue",1,999,1,"failure",-1.8,92.893,-46.2,1.291,5099.1,0
50,29,"admin.","single","university.degree","no","yes","no","telephone","jul","thu",12,999,0,"nonexistent",1.4,93.918,-42.7,4.962,5228.1,0
51,52,"admin.","married","university.degree","no","yes","no","cellular","apr","mon",2,999,0,"nonexistent",-1.8,93.075,-47.1,1.405,5099.1,0
53,30,"blue-collar","married","basic.4y","no","yes","no","cellular","apr","mon",1,999,0,"nonexistent",-1.8,93.075,-47.1,1.405,5099.1,0
54,33,"blue-collar","married","basic.9y","no","no","no","telephone","jun","fri",3,999,0,"nonexistent",1.4,94.465,-41.8,4.959,5228.1,0
55,32,"services","married","high.school","unknown","yes","no","telephone","may","wed",2,999,0,"nonexistent",1.1,93.994,-36.4,4.858,5191,0
